Wall time,Step,Value
1590087177.2652247,10001,-20.5
1590087214.023431,20001,-20.571428298950195
1590087252.338072,30001,-20.28125
1590087289.3160138,40001,-20.285715103149414
1590087325.6652899,50001,-20.245283126831055
1590087764.7433128,60001,-20.21875
1590088199.0060372,70001,-20.236841201782227
1590088634.8860343,80001,-20.241378784179688
1590089072.8629818,90001,-20.268041610717773
1590089502.3094013,100001,-20.280000686645508
1590089929.3654063,110001,-20.239999771118164
1590090366.0315325,120001,-20.270000457763672
1590090798.6605954,130001,-20.299999237060547
1590091231.6809883,140001,-20.309999465942383
1590091664.7132163,150001,-20.360000610351562
1590092099.1961086,160001,-20.389999389648438
1590092533.3986127,170001,-20.399999618530273
1590092968.5715203,180001,-20.3700008392334
1590093403.2971375,190001,-20.280000686645508
1590093839.7863216,200001,-20.260000228881836
1590094285.474842,210001,-20.290000915527344
1590094721.2845829,220001,-20.25
1590095158.0239165,230001,-20.290000915527344
1590095596.5173333,240001,-20.209999084472656
1590096033.332412,250001,-20.209999084472656
1590096468.1373665,260001,-20.190000534057617
1590096905.9064937,270001,-20.190000534057617
1590097342.9934068,280001,-20.170000076293945
1590097780.8046434,290001,-20.149999618530273
1590098219.2832496,300001,-20.15999984741211
1590098657.6441162,310001,-20.149999618530273
1590099107.2929666,320001,-20.049999237060547
1590099548.6439743,330001,-20.1200008392334
1590099989.805483,340001,-20.100000381469727
1590100432.3007164,350001,-20.06999969482422
1590100875.8751004,360001,-20.06999969482422
1590101317.5816205,370001,-20.030000686645508
1590101759.9750392,380001,-19.979999542236328
1590102202.915992,390001,-19.979999542236328
1590102646.5638998,400001,-20.020000457763672
1590103092.063729,410001,-20.030000686645508
1590103536.522703,420001,-20.059999465942383
1590103986.6280394,430001,-20.020000457763672
1590104436.0354285,440001,-20.020000457763672
1590104982.260568,450001,-20.020000457763672
1590105755.5589783,460001,-20.0
1590106662.4270144,470001,-20.030000686645508
1590107813.3466783,480001,-20.010000228881836
1590109836.3024843,490001,-19.90999984741211
1590113421.7593462,500001,-19.829999923706055
1590119449.9741888,510001,-19.709999084472656
1590126630.2256799,520001,-19.649999618530273
