Wall time,Step,Value
1592637871.5242975,0,-1828.28662109375
1592638011.789359,1,-716.3118286132812
1592638152.4443054,2,-340.8666076660156
1592638292.5883276,3,-311.5337829589844
1592638432.91709,4,-297.411376953125
1592638573.5493214,5,-277.4213562011719
1592638714.1830184,6,-274.4654541015625
1592638854.4302504,7,-286.91558837890625
1592638994.7838395,8,-281.2031555175781
1592639135.0450757,9,-255.54647827148438
1592639275.6578171,10,-262.3859558105469
1592639416.2031243,11,-274.15155029296875
1592639556.8971214,12,-267.446044921875
1592639697.2714138,13,-272.5277404785156
1592639837.5207505,14,-262.3299865722656
